Section,Identification & Provenance,Identification & Provenance,Identification & Provenance,Identification & Provenance,Identification & Provenance,Identification & Provenance,Identification & Provenance,Identification & Provenance,Identification & Provenance,Identification & Provenance,Identification & Provenance,Identification & Provenance,Identification & Provenance,Identification & Provenance,Identification & Provenance,Table Identifiers,Table Identifiers,Table Identifiers,Table Identifiers,Table Identifiers,Instrument / Acquisition Parameters,Instrument / Acquisition Parameters,Instrument / Acquisition Parameters,Instrument / Acquisition Parameters,Instrument / Acquisition Parameters,Instrument / Acquisition Parameters,Instrument / Acquisition Parameters,Instrument / Acquisition Parameters,Instrument / Acquisition Parameters,Instrument / Acquisition Parameters,Instrument / Acquisition Parameters,Instrument / Acquisition Parameters,Instrument / Acquisition Parameters,Instrument / Acquisition Parameters,Instrument / Acquisition Parameters,Analyte Information,Analyte Information,Analyte Information,Analyte Information,Analyte Information,Analyte Information,Analyte Information,Analyte Information,Analyte Information,Analyte Information,Analyte Information,Analyte Information,Analyte Information,Peak Row,Peak Row,Peak Row,Peak Row,Peak Row,Peak Row,Vibrational Mode (of structural environment),Vibrational Mode (of structural environment),Vibrational Mode (of structural environment),Vibrational Mode (of structural environment),Vibrational Mode (of structural environment),Vibrational Mode (of structural environment),Vibrational Mode (of structural environment),Vibrational Mode (of structural environment),Vibrational Mode (of structural environment),Vibrational Mode (of structural environment),Vibrational Mode (of structural environment),Vibrational Mode (of structural environment),Vibrational Mode (of structural environment),Vibrational Mode (of structural environment),Vibrational Mode (of structural environment),Vibrational Mode (of structural environment),Vibrational Mode (of structural environment),SERS Substrate Information,SERS Substrate Information,SERS Substrate Information,SERS Substrate Information,SERS Substrate Information,SERS Substrate Information,SERS Substrate Information,Preprocessing,,,,,,,,,,,,,,,
26,The infrared and Raman spectra of the pentafluorodhyl halides ,Scientific Paper,,,,Spectrochimica Acta,12,1036,O. Risgin,Pergomon Press Ltd.,08-06-1959,,,,"Pentafluoroethyl chloride was made available through the courtesy of Professor J. J. Martin of the Chemical Engineering Department of the University of Michigan, who had obtained it from the Jackson laboratories of the E. I. DuPont de Nemours Co. It had been prepared for PVT studies and was further purified by trap to trap distillation. Pentafluoroethyl bromide and iodide were synthesized in this laboratory by the procedure of VON GROSSE et al. [4]. Perfluoropropionic acid, kindly supplied by the Minnesota Mining and Manufacturing Co., was neutralized by Ag2O, and the silver salt decarboxylated by reaction with the appropriate halogen. The product was purified by passage over KOH and P2O5 and was further purified before use by several trap to trap fractionations in a vacuum line. A constant vapor pressure was taken as an indication of purity. The observed spectra show no indication of the presense of sizeable quantities of impurities. The infrared spectra were recorded by a Perkin-Elmer Model 21 double beam spectrometer equipped with both CaF2, and NaCl prisms. The Raman spectra were recorded photographically by a Gaertner two prism spectrograph with a linear dispersion of 16 A/mm. Details of the Raman spectrographic apparatus have been published previously [5]. The Raman spectra of the liquid pentafluoroethyl halides were determined at about -40C, while the spectra of the gases were determined at room temperature and a pressure of about 5 atm. The depolarization ratios of the liquids were determined by the two exposure method using Polaroid cylinders around the sample tubes to polarize the incident light. C2F5I showed photochemical decomposition even at low temperatures, liberating free iodine, and therefore it was not possible to determine the Raman spectrum of gaseous C2F5I. The infrared spectra of the compounds are reproduced in Fig. 1 and microphotometer records of the Raman spectra are reproduced in Figs. 2 and 3. 
",,9,Table 4.,Raman spectrum of C2F5Cl,,,,,,,,,,,,,,,,,,,,,C2F5Cl,,,,,,gas,,,cm^-1,,,646,,"s (strong relative intensity), sh (sharp peak)",,Mulliken,v6,,,a',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,The infrared and Raman spectra of the pentafluorodhyl halides ,Scientific Paper,,,,Spectrochimica Acta,12,1036,O. Risgin,Pergomon Press Ltd.,08-06-1959,,,,"Pentafluoroethyl chloride was made available through the courtesy of Professor J. J. Martin of the Chemical Engineering Department of the University of Michigan, who had obtained it from the Jackson laboratories of the E. I. DuPont de Nemours Co. It had been prepared for PVT studies and was further purified by trap to trap distillation. Pentafluoroethyl bromide and iodide were synthesized in this laboratory by the procedure of VON GROSSE et al. [4]. Perfluoropropionic acid, kindly supplied by the Minnesota Mining and Manufacturing Co., was neutralized by Ag2O, and the silver salt decarboxylated by reaction with the appropriate halogen. The product was purified by passage over KOH and P2O5 and was further purified before use by several trap to trap fractionations in a vacuum line. A constant vapor pressure was taken as an indication of purity. The observed spectra show no indication of the presense of sizeable quantities of impurities. The infrared spectra were recorded by a Perkin-Elmer Model 21 double beam spectrometer equipped with both CaF2, and NaCl prisms. The Raman spectra were recorded photographically by a Gaertner two prism spectrograph with a linear dispersion of 16 A/mm. Details of the Raman spectrographic apparatus have been published previously [5]. The Raman spectra of the liquid pentafluoroethyl halides were determined at about -40C, while the spectra of the gases were determined at room temperature and a pressure of about 5 atm. The depolarization ratios of the liquids were determined by the two exposure method using Polaroid cylinders around the sample tubes to polarize the incident light. C2F5I showed photochemical decomposition even at low temperatures, liberating free iodine, and therefore it was not possible to determine the Raman spectrum of gaseous C2F5I. The infrared spectra of the compounds are reproduced in Fig. 1 and microphotometer records of the Raman spectra are reproduced in Figs. 2 and 3. 
",,9,Table 4.,Raman spectrum of C2F5Cl,,,,,,,,,,,,,,,,,,,,,C2F5Cl,,,,,,gas,,,cm^-1,,,593,,"m (medium relative intensity), br (broad peak)",,Mulliken,v15,,,a'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,The infrared and Raman spectra of the pentafluorodhyl halides ,Scientific Paper,,,,Spectrochimica Acta,12,1036,O. Risgin,Pergomon Press Ltd.,08-06-1959,,,,"Pentafluoroethyl chloride was made available through the courtesy of Professor J. J. Martin of the Chemical Engineering Department of the University of Michigan, who had obtained it from the Jackson laboratories of the E. I. DuPont de Nemours Co. It had been prepared for PVT studies and was further purified by trap to trap distillation. Pentafluoroethyl bromide and iodide were synthesized in this laboratory by the procedure of VON GROSSE et al. [4]. Perfluoropropionic acid, kindly supplied by the Minnesota Mining and Manufacturing Co., was neutralized by Ag2O, and the silver salt decarboxylated by reaction with the appropriate halogen. The product was purified by passage over KOH and P2O5 and was further purified before use by several trap to trap fractionations in a vacuum line. A constant vapor pressure was taken as an indication of purity. The observed spectra show no indication of the presense of sizeable quantities of impurities. The infrared spectra were recorded by a Perkin-Elmer Model 21 double beam spectrometer equipped with both CaF2, and NaCl prisms. The Raman spectra were recorded photographically by a Gaertner two prism spectrograph with a linear dispersion of 16 A/mm. Details of the Raman spectrographic apparatus have been published previously [5]. The Raman spectra of the liquid pentafluoroethyl halides were determined at about -40C, while the spectra of the gases were determined at room temperature and a pressure of about 5 atm. The depolarization ratios of the liquids were determined by the two exposure method using Polaroid cylinders around the sample tubes to polarize the incident light. C2F5I showed photochemical decomposition even at low temperatures, liberating free iodine, and therefore it was not possible to determine the Raman spectrum of gaseous C2F5I. The infrared spectra of the compounds are reproduced in Fig. 1 and microphotometer records of the Raman spectra are reproduced in Figs. 2 and 3. 
",,9,Table 4.,Raman spectrum of C2F5Cl,,,,,,,,,,,,,,,,,,,,,C2F5Cl,,,,,,gas,,,cm^-1,,,558,,"m (medium relative intensity), sh (sharp peak)",,Mulliken,v7,,,a',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,The infrared and Raman spectra of the pentafluorodhyl halides ,Scientific Paper,,,,Spectrochimica Acta,12,1036,O. Risgin,Pergomon Press Ltd.,08-06-1959,,,,"Pentafluoroethyl chloride was made available through the courtesy of Professor J. J. Martin of the Chemical Engineering Department of the University of Michigan, who had obtained it from the Jackson laboratories of the E. I. DuPont de Nemours Co. It had been prepared for PVT studies and was further purified by trap to trap distillation. Pentafluoroethyl bromide and iodide were synthesized in this laboratory by the procedure of VON GROSSE et al. [4]. Perfluoropropionic acid, kindly supplied by the Minnesota Mining and Manufacturing Co., was neutralized by Ag2O, and the silver salt decarboxylated by reaction with the appropriate halogen. The product was purified by passage over KOH and P2O5 and was further purified before use by several trap to trap fractionations in a vacuum line. A constant vapor pressure was taken as an indication of purity. The observed spectra show no indication of the presense of sizeable quantities of impurities. The infrared spectra were recorded by a Perkin-Elmer Model 21 double beam spectrometer equipped with both CaF2, and NaCl prisms. The Raman spectra were recorded photographically by a Gaertner two prism spectrograph with a linear dispersion of 16 A/mm. Details of the Raman spectrographic apparatus have been published previously [5]. The Raman spectra of the liquid pentafluoroethyl halides were determined at about -40C, while the spectra of the gases were determined at room temperature and a pressure of about 5 atm. The depolarization ratios of the liquids were determined by the two exposure method using Polaroid cylinders around the sample tubes to polarize the incident light. C2F5I showed photochemical decomposition even at low temperatures, liberating free iodine, and therefore it was not possible to determine the Raman spectrum of gaseous C2F5I. The infrared spectra of the compounds are reproduced in Fig. 1 and microphotometer records of the Raman spectra are reproduced in Figs. 2 and 3. 
",,9,Table 4.,Raman spectrum of C2F5Cl,,,,,,,,,,,,,,,,,,,,,C2F5Cl,,,,,,gas,,,cm^-1,,,440,,"vs (very strong relative intensity), sh (sharp peak)",,Mulliken,v8,,,a',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,The infrared and Raman spectra of the pentafluorodhyl halides ,Scientific Paper,,,,Spectrochimica Acta,12,1036,O. Risgin,Pergomon Press Ltd.,08-06-1959,,,,"Pentafluoroethyl chloride was made available through the courtesy of Professor J. J. Martin of the Chemical Engineering Department of the University of Michigan, who had obtained it from the Jackson laboratories of the E. I. DuPont de Nemours Co. It had been prepared for PVT studies and was further purified by trap to trap distillation. Pentafluoroethyl bromide and iodide were synthesized in this laboratory by the procedure of VON GROSSE et al. [4]. Perfluoropropionic acid, kindly supplied by the Minnesota Mining and Manufacturing Co., was neutralized by Ag2O, and the silver salt decarboxylated by reaction with the appropriate halogen. The product was purified by passage over KOH and P2O5 and was further purified before use by several trap to trap fractionations in a vacuum line. A constant vapor pressure was taken as an indication of purity. The observed spectra show no indication of the presense of sizeable quantities of impurities. The infrared spectra were recorded by a Perkin-Elmer Model 21 double beam spectrometer equipped with both CaF2, and NaCl prisms. The Raman spectra were recorded photographically by a Gaertner two prism spectrograph with a linear dispersion of 16 A/mm. Details of the Raman spectrographic apparatus have been published previously [5]. The Raman spectra of the liquid pentafluoroethyl halides were determined at about -40C, while the spectra of the gases were determined at room temperature and a pressure of about 5 atm. The depolarization ratios of the liquids were determined by the two exposure method using Polaroid cylinders around the sample tubes to polarize the incident light. C2F5I showed photochemical decomposition even at low temperatures, liberating free iodine, and therefore it was not possible to determine the Raman spectrum of gaseous C2F5I. The infrared spectra of the compounds are reproduced in Fig. 1 and microphotometer records of the Raman spectra are reproduced in Figs. 2 and 3. 
",,9,Table 4.,Raman spectrum of C2F5Cl,,,,,,,,,,,,,,,,,,,,,C2F5Cl,,,,,,gas,,,cm^-1,,,362,,"s (strong relative intensity), sh (sharp peak)",,Mulliken,v9,,,a',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,The infrared and Raman spectra of the pentafluorodhyl halides ,Scientific Paper,,,,Spectrochimica Acta,12,1036,O. Risgin,Pergomon Press Ltd.,08-06-1959,,,,"Pentafluoroethyl chloride was made available through the courtesy of Professor J. J. Martin of the Chemical Engineering Department of the University of Michigan, who had obtained it from the Jackson laboratories of the E. I. DuPont de Nemours Co. It had been prepared for PVT studies and was further purified by trap to trap distillation. Pentafluoroethyl bromide and iodide were synthesized in this laboratory by the procedure of VON GROSSE et al. [4]. Perfluoropropionic acid, kindly supplied by the Minnesota Mining and Manufacturing Co., was neutralized by Ag2O, and the silver salt decarboxylated by reaction with the appropriate halogen. The product was purified by passage over KOH and P2O5 and was further purified before use by several trap to trap fractionations in a vacuum line. A constant vapor pressure was taken as an indication of purity. The observed spectra show no indication of the presense of sizeable quantities of impurities. The infrared spectra were recorded by a Perkin-Elmer Model 21 double beam spectrometer equipped with both CaF2, and NaCl prisms. The Raman spectra were recorded photographically by a Gaertner two prism spectrograph with a linear dispersion of 16 A/mm. Details of the Raman spectrographic apparatus have been published previously [5]. The Raman spectra of the liquid pentafluoroethyl halides were determined at about -40C, while the spectra of the gases were determined at room temperature and a pressure of about 5 atm. The depolarization ratios of the liquids were determined by the two exposure method using Polaroid cylinders around the sample tubes to polarize the incident light. C2F5I showed photochemical decomposition even at low temperatures, liberating free iodine, and therefore it was not possible to determine the Raman spectrum of gaseous C2F5I. The infrared spectra of the compounds are reproduced in Fig. 1 and microphotometer records of the Raman spectra are reproduced in Figs. 2 and 3. 
",,9,Table 4.,Raman spectrum of C2F5Cl,,,,,,,,,,,,,,,,,,,,,C2F5Cl,,,,,,gas,,,cm^-1,,,334,,"m (medium relative intensity), br (broad peak)",,Mulliken,v16,,,a'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,The infrared and Raman spectra of the pentafluorodhyl halides ,Scientific Paper,,,,Spectrochimica Acta,12,1036,O. Risgin,Pergomon Press Ltd.,08-06-1959,,,,"Pentafluoroethyl chloride was made available through the courtesy of Professor J. J. Martin of the Chemical Engineering Department of the University of Michigan, who had obtained it from the Jackson laboratories of the E. I. DuPont de Nemours Co. It had been prepared for PVT studies and was further purified by trap to trap distillation. Pentafluoroethyl bromide and iodide were synthesized in this laboratory by the procedure of VON GROSSE et al. [4]. Perfluoropropionic acid, kindly supplied by the Minnesota Mining and Manufacturing Co., was neutralized by Ag2O, and the silver salt decarboxylated by reaction with the appropriate halogen. The product was purified by passage over KOH and P2O5 and was further purified before use by several trap to trap fractionations in a vacuum line. A constant vapor pressure was taken as an indication of purity. The observed spectra show no indication of the presense of sizeable quantities of impurities. The infrared spectra were recorded by a Perkin-Elmer Model 21 double beam spectrometer equipped with both CaF2, and NaCl prisms. The Raman spectra were recorded photographically by a Gaertner two prism spectrograph with a linear dispersion of 16 A/mm. Details of the Raman spectrographic apparatus have been published previously [5]. The Raman spectra of the liquid pentafluoroethyl halides were determined at about -40C, while the spectra of the gases were determined at room temperature and a pressure of about 5 atm. The depolarization ratios of the liquids were determined by the two exposure method using Polaroid cylinders around the sample tubes to polarize the incident light. C2F5I showed photochemical decomposition even at low temperatures, liberating free iodine, and therefore it was not possible to determine the Raman spectrum of gaseous C2F5I. The infrared spectra of the compounds are reproduced in Fig. 1 and microphotometer records of the Raman spectra are reproduced in Figs. 2 and 3. 
",,9,Table 4.,Raman spectrum of C2F5Cl,,,,,,,,,,,,,,,,,,,,,C2F5Cl,,,,,,gas,,,cm^-1,,,316,,"s (strong relative intensity), sh (sharp peak)",,Mulliken,v10,,,a',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,The infrared and Raman spectra of the pentafluorodhyl halides ,Scientific Paper,,,,Spectrochimica Acta,12,1036,O. Risgin,Pergomon Press Ltd.,08-06-1959,,,,"Pentafluoroethyl chloride was made available through the courtesy of Professor J. J. Martin of the Chemical Engineering Department of the University of Michigan, who had obtained it from the Jackson laboratories of the E. I. DuPont de Nemours Co. It had been prepared for PVT studies and was further purified by trap to trap distillation. Pentafluoroethyl bromide and iodide were synthesized in this laboratory by the procedure of VON GROSSE et al. [4]. Perfluoropropionic acid, kindly supplied by the Minnesota Mining and Manufacturing Co., was neutralized by Ag2O, and the silver salt decarboxylated by reaction with the appropriate halogen. The product was purified by passage over KOH and P2O5 and was further purified before use by several trap to trap fractionations in a vacuum line. A constant vapor pressure was taken as an indication of purity. The observed spectra show no indication of the presense of sizeable quantities of impurities. The infrared spectra were recorded by a Perkin-Elmer Model 21 double beam spectrometer equipped with both CaF2, and NaCl prisms. The Raman spectra were recorded photographically by a Gaertner two prism spectrograph with a linear dispersion of 16 A/mm. Details of the Raman spectrographic apparatus have been published previously [5]. The Raman spectra of the liquid pentafluoroethyl halides were determined at about -40C, while the spectra of the gases were determined at room temperature and a pressure of about 5 atm. The depolarization ratios of the liquids were determined by the two exposure method using Polaroid cylinders around the sample tubes to polarize the incident light. C2F5I showed photochemical decomposition even at low temperatures, liberating free iodine, and therefore it was not possible to determine the Raman spectrum of gaseous C2F5I. The infrared spectra of the compounds are reproduced in Fig. 1 and microphotometer records of the Raman spectra are reproduced in Figs. 2 and 3. 
",,9,Table 4.,Raman spectrum of C2F5Cl,,,,,,,,,,,,,,,,,,,,,C2F5Cl,,,,,,gas,,,cm^-1,,,183,,"m (medium relative intensity), br (broad peak)",,Mulliken,v17,,,a'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,The infrared and Raman spectra of the pentafluorodhyl halides ,Scientific Paper,,,,Spectrochimica Acta,12,1036,O. Risgin,Pergomon Press Ltd.,08-06-1959,,,,"Pentafluoroethyl chloride was made available through the courtesy of Professor J. J. Martin of the Chemical Engineering Department of the University of Michigan, who had obtained it from the Jackson laboratories of the E. I. DuPont de Nemours Co. It had been prepared for PVT studies and was further purified by trap to trap distillation. Pentafluoroethyl bromide and iodide were synthesized in this laboratory by the procedure of VON GROSSE et al. [4]. Perfluoropropionic acid, kindly supplied by the Minnesota Mining and Manufacturing Co., was neutralized by Ag2O, and the silver salt decarboxylated by reaction with the appropriate halogen. The product was purified by passage over KOH and P2O5 and was further purified before use by several trap to trap fractionations in a vacuum line. A constant vapor pressure was taken as an indication of purity. The observed spectra show no indication of the presense of sizeable quantities of impurities. The infrared spectra were recorded by a Perkin-Elmer Model 21 double beam spectrometer equipped with both CaF2, and NaCl prisms. The Raman spectra were recorded photographically by a Gaertner two prism spectrograph with a linear dispersion of 16 A/mm. Details of the Raman spectrographic apparatus have been published previously [5]. The Raman spectra of the liquid pentafluoroethyl halides were determined at about -40C, while the spectra of the gases were determined at room temperature and a pressure of about 5 atm. The depolarization ratios of the liquids were determined by the two exposure method using Polaroid cylinders around the sample tubes to polarize the incident light. C2F5I showed photochemical decomposition even at low temperatures, liberating free iodine, and therefore it was not possible to determine the Raman spectrum of gaseous C2F5I. The infrared spectra of the compounds are reproduced in Fig. 1 and microphotometer records of the Raman spectra are reproduced in Figs. 2 and 3. 
",,10,Table 5.,Raman spectrum of C2F5Br,,,,,,,,,,,,,,,,,,,,,C2F5Br,,,,,,liquid,,,cm^-1,,,1339,,"m (medium relative intensity), depol. (depolarized)",,Mulliken,v12,,,a'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,The infrared and Raman spectra of the pentafluorodhyl halides ,Scientific Paper,,,,Spectrochimica Acta,12,1036,O. Risgin,Pergomon Press Ltd.,08-06-1959,,,,"Pentafluoroethyl chloride was made available through the courtesy of Professor J. J. Martin of the Chemical Engineering Department of the University of Michigan, who had obtained it from the Jackson laboratories of the E. I. DuPont de Nemours Co. It had been prepared for PVT studies and was further purified by trap to trap distillation. Pentafluoroethyl bromide and iodide were synthesized in this laboratory by the procedure of VON GROSSE et al. [4]. Perfluoropropionic acid, kindly supplied by the Minnesota Mining and Manufacturing Co., was neutralized by Ag2O, and the silver salt decarboxylated by reaction with the appropriate halogen. The product was purified by passage over KOH and P2O5 and was further purified before use by several trap to trap fractionations in a vacuum line. A constant vapor pressure was taken as an indication of purity. The observed spectra show no indication of the presense of sizeable quantities of impurities. The infrared spectra were recorded by a Perkin-Elmer Model 21 double beam spectrometer equipped with both CaF2, and NaCl prisms. The Raman spectra were recorded photographically by a Gaertner two prism spectrograph with a linear dispersion of 16 A/mm. Details of the Raman spectrographic apparatus have been published previously [5]. The Raman spectra of the liquid pentafluoroethyl halides were determined at about -40C, while the spectra of the gases were determined at room temperature and a pressure of about 5 atm. The depolarization ratios of the liquids were determined by the two exposure method using Polaroid cylinders around the sample tubes to polarize the incident light. C2F5I showed photochemical decomposition even at low temperatures, liberating free iodine, and therefore it was not possible to determine the Raman spectrum of gaseous C2F5I. The infrared spectra of the compounds are reproduced in Fig. 1 and microphotometer records of the Raman spectra are reproduced in Figs. 2 and 3. 
",,10,Table 5.,Raman spectrum of C2F5Br,,,,,,,,,,,,,,,,,,,,,C2F5Br,,,,,,liquid,,,cm^-1,,,1312,,vvw (very very weak relative intensity),,Mulliken,v5 + v7,,,A',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,The infrared and Raman spectra of the pentafluorodhyl halides ,Scientific Paper,,,,Spectrochimica Acta,12,1036,O. Risgin,Pergomon Press Ltd.,08-06-1959,,,,"Pentafluoroethyl chloride was made available through the courtesy of Professor J. J. Martin of the Chemical Engineering Department of the University of Michigan, who had obtained it from the Jackson laboratories of the E. I. DuPont de Nemours Co. It had been prepared for PVT studies and was further purified by trap to trap distillation. Pentafluoroethyl bromide and iodide were synthesized in this laboratory by the procedure of VON GROSSE et al. [4]. Perfluoropropionic acid, kindly supplied by the Minnesota Mining and Manufacturing Co., was neutralized by Ag2O, and the silver salt decarboxylated by reaction with the appropriate halogen. The product was purified by passage over KOH and P2O5 and was further purified before use by several trap to trap fractionations in a vacuum line. A constant vapor pressure was taken as an indication of purity. The observed spectra show no indication of the presense of sizeable quantities of impurities. The infrared spectra were recorded by a Perkin-Elmer Model 21 double beam spectrometer equipped with both CaF2, and NaCl prisms. The Raman spectra were recorded photographically by a Gaertner two prism spectrograph with a linear dispersion of 16 A/mm. Details of the Raman spectrographic apparatus have been published previously [5]. The Raman spectra of the liquid pentafluoroethyl halides were determined at about -40C, while the spectra of the gases were determined at room temperature and a pressure of about 5 atm. The depolarization ratios of the liquids were determined by the two exposure method using Polaroid cylinders around the sample tubes to polarize the incident light. C2F5I showed photochemical decomposition even at low temperatures, liberating free iodine, and therefore it was not possible to determine the Raman spectrum of gaseous C2F5I. The infrared spectra of the compounds are reproduced in Fig. 1 and microphotometer records of the Raman spectra are reproduced in Figs. 2 and 3. 
",,10,Table 5.,Raman spectrum of C2F5Br,,,,,,,,,,,,,,,,,,,,,C2F5Br,,,,,,liquid,,,cm^-1,,,1240,,"w (weak relative intensity), pol? (polarized?)",,Mulliken,v1,,,a',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,The infrared and Raman spectra of the pentafluorodhyl halides ,Scientific Paper,,,,Spectrochimica Acta,12,1036,O. Risgin,Pergomon Press Ltd.,08-06-1959,,,,"Pentafluoroethyl chloride was made available through the courtesy of Professor J. J. Martin of the Chemical Engineering Department of the University of Michigan, who had obtained it from the Jackson laboratories of the E. I. DuPont de Nemours Co. It had been prepared for PVT studies and was further purified by trap to trap distillation. Pentafluoroethyl bromide and iodide were synthesized in this laboratory by the procedure of VON GROSSE et al. [4]. Perfluoropropionic acid, kindly supplied by the Minnesota Mining and Manufacturing Co., was neutralized by Ag2O, and the silver salt decarboxylated by reaction with the appropriate halogen. The product was purified by passage over KOH and P2O5 and was further purified before use by several trap to trap fractionations in a vacuum line. A constant vapor pressure was taken as an indication of purity. The observed spectra show no indication of the presense of sizeable quantities of impurities. The infrared spectra were recorded by a Perkin-Elmer Model 21 double beam spectrometer equipped with both CaF2, and NaCl prisms. The Raman spectra were recorded photographically by a Gaertner two prism spectrograph with a linear dispersion of 16 A/mm. Details of the Raman spectrographic apparatus have been published previously [5]. The Raman spectra of the liquid pentafluoroethyl halides were determined at about -40C, while the spectra of the gases were determined at room temperature and a pressure of about 5 atm. The depolarization ratios of the liquids were determined by the two exposure method using Polaroid cylinders around the sample tubes to polarize the incident light. C2F5I showed photochemical decomposition even at low temperatures, liberating free iodine, and therefore it was not possible to determine the Raman spectrum of gaseous C2F5I. The infrared spectra of the compounds are reproduced in Fig. 1 and microphotometer records of the Raman spectra are reproduced in Figs. 2 and 3. 
",,10,Table 5.,Raman spectrum of C2F5Br,,,,,,,,,,,,,,,,,,,,,C2F5Br,,,,,,liquid,,,cm^-1,,,1218,,"m (medium relative intensity), pol. (polarized)",,Mulliken,v2,,,a',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,The infrared and Raman spectra of the pentafluorodhyl halides ,Scientific Paper,,,,Spectrochimica Acta,12,1036,O. Risgin,Pergomon Press Ltd.,08-06-1959,,,,"Pentafluoroethyl chloride was made available through the courtesy of Professor J. J. Martin of the Chemical Engineering Department of the University of Michigan, who had obtained it from the Jackson laboratories of the E. I. DuPont de Nemours Co. It had been prepared for PVT studies and was further purified by trap to trap distillation. Pentafluoroethyl bromide and iodide were synthesized in this laboratory by the procedure of VON GROSSE et al. [4]. Perfluoropropionic acid, kindly supplied by the Minnesota Mining and Manufacturing Co., was neutralized by Ag2O, and the silver salt decarboxylated by reaction with the appropriate halogen. The product was purified by passage over KOH and P2O5 and was further purified before use by several trap to trap fractionations in a vacuum line. A constant vapor pressure was taken as an indication of purity. The observed spectra show no indication of the presense of sizeable quantities of impurities. The infrared spectra were recorded by a Perkin-Elmer Model 21 double beam spectrometer equipped with both CaF2, and NaCl prisms. The Raman spectra were recorded photographically by a Gaertner two prism spectrograph with a linear dispersion of 16 A/mm. Details of the Raman spectrographic apparatus have been published previously [5]. The Raman spectra of the liquid pentafluoroethyl halides were determined at about -40C, while the spectra of the gases were determined at room temperature and a pressure of about 5 atm. The depolarization ratios of the liquids were determined by the two exposure method using Polaroid cylinders around the sample tubes to polarize the incident light. C2F5I showed photochemical decomposition even at low temperatures, liberating free iodine, and therefore it was not possible to determine the Raman spectrum of gaseous C2F5I. The infrared spectra of the compounds are reproduced in Fig. 1 and microphotometer records of the Raman spectra are reproduced in Figs. 2 and 3. 
",,10,Table 5.,Raman spectrum of C2F5Br,,,,,,,,,,,,,,,,,,,,,C2F5Br,,,,,,liquid,,,cm^-1,,,1175,,"w (weak relative intensity), depol. (depolarized)",,Mulliken,v13,,,a'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,The infrared and Raman spectra of the pentafluorodhyl halides ,Scientific Paper,,,,Spectrochimica Acta,12,1036,O. Risgin,Pergomon Press Ltd.,08-06-1959,,,,"Pentafluoroethyl chloride was made available through the courtesy of Professor J. J. Martin of the Chemical Engineering Department of the University of Michigan, who had obtained it from the Jackson laboratories of the E. I. DuPont de Nemours Co. It had been prepared for PVT studies and was further purified by trap to trap distillation. Pentafluoroethyl bromide and iodide were synthesized in this laboratory by the procedure of VON GROSSE et al. [4]. Perfluoropropionic acid, kindly supplied by the Minnesota Mining and Manufacturing Co., was neutralized by Ag2O, and the silver salt decarboxylated by reaction with the appropriate halogen. The product was purified by passage over KOH and P2O5 and was further purified before use by several trap to trap fractionations in a vacuum line. A constant vapor pressure was taken as an indication of purity. The observed spectra show no indication of the presense of sizeable quantities of impurities. The infrared spectra were recorded by a Perkin-Elmer Model 21 double beam spectrometer equipped with both CaF2, and NaCl prisms. The Raman spectra were recorded photographically by a Gaertner two prism spectrograph with a linear dispersion of 16 A/mm. Details of the Raman spectrographic apparatus have been published previously [5]. The Raman spectra of the liquid pentafluoroethyl halides were determined at about -40C, while the spectra of the gases were determined at room temperature and a pressure of about 5 atm. The depolarization ratios of the liquids were determined by the two exposure method using Polaroid cylinders around the sample tubes to polarize the incident light. C2F5I showed photochemical decomposition even at low temperatures, liberating free iodine, and therefore it was not possible to determine the Raman spectrum of gaseous C2F5I. The infrared spectra of the compounds are reproduced in Fig. 1 and microphotometer records of the Raman spectra are reproduced in Figs. 2 and 3. 
",,10,Table 5.,Raman spectrum of C2F5Br,,,,,,,,,,,,,,,,,,,,,C2F5Br,,,,,,liquid,,,cm^-1,,,1114,,"m (medium relative intensity), pol. (polarized)",,Mulliken,v3,,,a',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
